DATE,MEAN_ALT_CM,STDEV,MIN_ALT_CM,MAX_ALT_CM
1995-08-20,52.96,8.93,29.00,71.00
1996-08-20,54.13,9.63,29.00,81.00
1997-08-09,56.42,7.75,38.00,74.00
1998-08-13,54.46,7.79,39.00,81.00
1999-08-10,53.22,8.66,34.00,84.00
2000-08-08,45.22,8.78,25.00,73.00
2001-08-16,48.88,8.20,30.00,76.00
2002-08-20,39.35,8.23,22.00,59.00
2003-08-19,45.72,8.30,28.00,64.00
2004-08-17,50.62,6.46,37.00,78.00
2005-08-14,44.06,9.02,28.00,80.00
2006-08-13,49.03,7.41,36.00,77.00
2007-08-10,44.72,7.83,30.00,80.00
2008-08-15,45.23,8.42,27.0,76.0
2009-08-13,58.28,8.82,42.00,84.00
2010-08-15,63.90,8.68,47.00,90.00
2011-08-16,56.16,9.39,38.00,91.00
2012-08-14,51.19,10.12,34.00,85.00
2013-08-14,59.65,9.84,43.00,92.00
2014-08-15,54.91,9.94,35.00,87.00
2015-08-18,55.14,10.4,30.0,85.0
